,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
83,kawalu,69,ID,1669019441,78,-7.3817,108.2082,79.59,5.93
84,saint george,0,US,1669019313,41,37.1041,-113.5841,36.19,3.44
85,huaura,93,PE,1669019442,89,-11.07,-77.5994,63.05,5.01
86,taltal,59,CL,1669019442,88,-25.4,-70.4833,59.11,3.91
87,ribeira grande,75,PT,1669019354,100,38.5167,-28.7,64.8,2.3
88,oranjemund,75,NA,1669019375,75,-28.55,16.4333,65.53,12.1
89,norman wells,75,CA,1669019443,93,65.282,-126.8329,19.44,2.3
90,road town,23,VG,1669019331,73,18.4167,-64.6167,78.89,19.91
91,goundam,100,ML,1669019444,12,16.4145,-3.6708,80.2,19.19
92,alofi,98,NU,1669019444,94,-19.0595,-169.9187,75.09,9.22
93,barrow,100,US,1669019921,80,71.2906,-156.7887,23.02,16.11
94,arraial do cabo,75,BR,1669019922,94,-22.9661,-42.0278,71.56,9.22
95,pokhara,0,NP,1669019445,47,28.2333,83.9833,72.32,5.73
96,novyy urengoy,100,RU,1669019445,97,66.0833,76.6333,-4.54,15.14
97,dolinsk,100,RU,1669019446,85,47.35,142.8,37.0,4.27
98,carutapera,30,BR,1669019353,94,-1.195,-46.02,74.53,5.01
99,longyearbyen,75,SJ,1669019446,81,78.2186,15.6401,37.24,19.57
100,mahebourg,40,MU,1669019446,61,-20.4081,57.7,82.69,18.41
101,kailua,10,US,1669019447,81,21.4022,-157.7394,78.78,5.01
102,acapulco,20,MX,1669019447,78,16.8634,-99.8901,76.82,5.75
103,komsomolskiy,75,UZ,1669019448,81,40.4272,71.7189,47.12,0.0
104,srednekolymsk,58,RU,1669019448,100,67.45,153.6833,-35.45,2.46
105,terme,92,TR,1669019448,41,41.2092,36.9739,71.53,3.69
106,medea,8,DZ,1669019449,61,36.2642,2.7539,51.03,6.11
107,kyshtovka,92,RU,1669019449,94,56.555,76.6271,9.45,8.39
108,high level,100,CA,1669019406,80,58.5169,-117.136,23.11,2.3
109,yaan,97,NG,1669019450,53,7.3833,8.5667,84.18,7.16
110,zamora,83,EC,1669019450,98,-4.0692,-78.9567,65.12,4.54
111,mangrol,35,IN,1669019451,34,21.1167,70.1167,85.46,5.91
112,cordoba,100,AR,1669019451,94,-31.4135,-64.1811,57.18,8.05
113,pelym,100,RU,1669019451,82,61.0108,61.9978,24.15,9.78
114,mundo nuevo,100,MX,1669019452,82,18.7,-95.5,71.01,23.91
115,sao joao da barra,96,BR,1669019452,91,-21.6403,-41.0511,71.42,8.93
116,albany,75,US,1669019847,76,42.6001,-73.9662,24.03,4.74
117,avera,81,US,1669019453,46,33.194,-82.5271,31.51,7.31
118,panaba,61,MX,1669019453,93,21.2833,-88.2667,72.41,2.44
119,tual,100,ID,1669019454,73,-5.6667,132.75,84.83,10.51
120,butembo,96,CD,1669019454,87,0.15,29.2833,65.95,0.4
121,boueni,0,YT,1669019454,75,-12.9025,45.0761,85.98,1.92
122,belmira,100,CO,1669019455,98,6.6051,-75.6662,50.34,1.28
123,chokurdakh,98,RU,1669019334,100,70.6333,147.9167,-32.35,1.39
124,bengkulu,57,ID,1669019328,70,-3.8004,102.2655,82.99,10.69
125,hornepayne,100,CA,1669019455,90,49.2138,-84.7705,25.48,13.38
126,limburg,100,NL,1669019456,92,51.25,6.0,45.3,6.22
127,williams lake,100,CA,1669019207,93,52.1415,-122.1445,29.77,5.75
128,castro,23,BR,1669019383,99,-24.7911,-50.0119,57.04,4.14
129,kearney,7,US,1669019436,33,40.6995,-99.0815,33.26,4.0
130,hilo,75,US,1669019684,91,19.7297,-155.09,71.26,8.05
131,yellowknife,100,CA,1669019886,93,62.456,-114.3525,23.52,10.36
132,port hardy,100,CA,1669019457,87,50.6996,-127.4199,42.98,9.22
133,helong,28,CN,1669019458,83,42.5397,128.9972,26.17,4.52
134,vaini,75,TO,1669019928,94,-21.2,-175.2,75.36,2.3
135,ginda,10,IN,1669019458,21,30.6945,78.4932,65.61,4.99
136,kruisfontein,9,ZA,1669019351,39,-34.0033,24.7314,73.89,7.4
137,saint-georges,20,GD,1669019459,83,12.0564,-61.7485,78.48,6.91
138,ostrovnoy,100,RU,1669019393,84,68.0531,39.5131,35.94,4.97
139,bereda,97,ES,1669019459,100,43.2686,-7.5406,54.41,9.78
140,waipawa,40,NZ,1669019460,77,-41.4122,175.5153,58.66,17.45
141,puerto del rosario,75,ES,1669019460,78,28.5004,-13.8627,69.55,17.27
142,dubbo,40,AU,1669019461,41,-32.25,148.6167,60.93,14.97
143,carnoustie,100,GB,1669019461,100,56.5014,-2.7091,34.7,4.61
144,kaitangata,100,NZ,1669019372,97,-46.2817,169.8464,56.23,1.66
145,faanui,17,PF,1669019355,73,-16.4833,-151.75,78.62,15.46
146,leshukonskoye,100,RU,1669019462,99,64.8989,45.7622,32.22,4.97
147,avarua,20,CK,1669019331,68,-21.2078,-159.775,73.45,6.91
148,haines junction,98,CA,1669019463,75,60.7522,-137.5108,35.55,4.61
149,mataura,100,NZ,1669019931,97,-46.1927,168.8643,58.48,7.52
150,lethem,100,GY,1669019464,79,3.3803,-59.7968,76.53,8.23
151,makakilo city,75,US,1669019891,67,21.3469,-158.0858,77.32,9.22
152,kysyl-syr,79,RU,1669019465,100,63.8986,122.7617,-28.61,1.14
153,beni,100,CD,1669019465,58,0.5,29.4667,77.83,3.33
154,naze,10,JP,1669019933,78,28.3667,129.4833,72.52,5.91
155,goroka,97,PG,1669019466,97,-6.0834,145.3873,62.8,0.51
156,geraldton,2,AU,1669019933,26,-28.7667,114.6,84.61,26.46
157,broome,100,US,1669019337,77,42.2506,-75.833,24.71,4.61
158,berlevag,100,NO,1669019467,87,70.8578,29.0864,37.4,10.36
159,krasnoselkup,76,RU,1669019467,97,65.7,82.4667,-20.0,8.28
160,vechelde,100,DE,1669019467,89,52.2604,10.3649,32.2,3.44
161,doka,0,SD,1669019468,24,13.5167,35.7667,93.13,9.48
162,mar del plata,100,AR,1669019368,95,-38.0023,-57.5575,61.09,15.01
163,tomatlan,100,MX,1669019468,82,19.9333,-105.25,70.86,3.62
164,okahandja,100,NA,1669019469,19,-21.9833,16.9167,88.3,7.29
165,nishihara,40,JP,1669019469,75,26.1842,127.7558,76.68,10.36
166,lavrentiya,100,RU,1669019470,79,65.5833,-171.0,20.7,24.79
167,bethel,0,US,1669019935,60,41.3712,-73.414,26.49,3.44
168,buala,100,SB,1669019470,78,-8.145,159.5921,81.23,6.58
169,khandagayty,72,RU,1669019471,91,50.7333,92.05,13.14,0.98
170,iqaluit,83,CA,1669019471,99,63.7506,-68.5145,-3.28,2.68
171,ilulissat,20,GL,1669019346,68,69.2167,-51.1,21.22,2.3
172,dondo,99,MZ,1669019472,65,-19.6094,34.7431,80.11,9.19
173,felipe carrillo puerto,100,MX,1669019472,99,19.5833,-88.05,70.77,2.15
174,nome,100,US,1669019385,86,64.5011,-165.4064,30.27,0.0
175,bonfim,100,BR,1669019473,74,3.0833,-59.95,78.03,6.35
176,torbay,75,CA,1669019731,88,47.6666,-52.7314,36.57,28.77
177,shimoda,40,JP,1669019473,82,34.6667,138.95,59.11,8.68
178,barguzin,100,RU,1669019474,87,53.6167,109.6167,8.46,4.03
179,tiksi,89,RU,1669019474,100,71.6872,128.8694,-19.35,3.47
180,bulgan,15,MN,1669019475,80,48.8125,103.5347,19.87,1.59
181,provideniya,100,RU,1669019938,89,64.3833,-173.3,15.73,13.04
182,mayumba,100,GA,1669019476,92,-3.432,10.6554,74.25,3.18
183,hovd,66,MN,1669019476,31,48.0056,91.6419,35.06,4.12
184,rio gallegos,0,AR,1669019477,81,-51.6226,-69.2181,37.45,2.3
185,buraydah,0,SA,1669019389,30,26.326,43.975,68.45,4.07
186,mitu,100,CO,1669019477,100,1.1983,-70.1733,71.55,2.42
187,port alfred,0,ZA,1669019350,78,-33.5906,26.891,71.19,1.99
188,ust-nera,100,RU,1669019478,99,64.5667,143.2,-7.96,4.29
189,tasiilaq,100,GL,1669019939,84,65.6145,-37.6368,34.41,11.65
190,new norfolk,29,AU,1669019362,63,-42.7826,147.0587,47.71,5.99
191,zeya,99,RU,1669019479,97,53.75,127.2667,10.85,2.24
192,pacific grove,0,US,1669019479,69,36.6177,-121.9166,53.42,1.01
193,padang,52,ID,1669019878,71,-0.9492,100.3543,86.05,5.08
194,karratha,99,AU,1669019480,28,-20.7377,116.8463,84.36,20.24
195,dillon,56,US,1669019480,39,34.4166,-79.3712,33.78,6.49
196,romny,100,UA,1669019481,100,50.751,33.4747,33.53,6.11
197,maceio,40,BR,1669019481,94,-9.6658,-35.7353,72.84,4.61
